,Brand,Model,Trim,Manufature Year,Stock Type,Mileage,Dealer Name,Distance,Rating,Review Count,Badge Label,Price
261,RAM,1500, Big Horn,2019,Used,"45,798 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$39,500"
262,Toyota,Highlander, Limited,2019,Used,"29,302 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,"Great Deal | $1,985 under","$37,695"
263,Nissan,Maxima, 3.5 S,2016,Used,"58,548 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$21,222"
264,Hyundai,Elantra, SE,2017,Used,"29,313 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$17,900"
265,Mercedes-Benz,E-Class, E 300,2019,Mercedes-Benz Certified,"20,792 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$47,700"
266,Jeep,Patriot, High Altitude,2014,Used,"83,003 mi.",Tate Dodge Chrysler Jeep and Certified Used Cars,6 mi. from 21227,4.0,39 ,Virtual Appointments,"$16,400"
267,Honda,Odyssey, Touring,2010,Used,"153,536 mi.",A G Auto Sales,6 mi. from 21227,3.7,3 ,Good Deal,"$9,995"
268,Ford,Bronco, Outer Banks Advanced,2021,Used,"6,500 mi.",Bob Bell Ford Hyundai,6 mi. from 21227,4.5,618 ,Good Deal,"$59,554"
269,Toyota,RAV4, XLE,2015,Used,"97,782 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Great Deal | $368 under,"$17,999"
270,Honda,Accord, EX-L,2015,Used,"116,257 mi.",Star Cars,7 mi. from 21227,4.4,26 ,Good Deal,"$16,999"
271,Lexus,RX, 350 ,2013,Used,"79,729 mi.",LF Autos,7 mi. from 21227,4.8,75 ,Fair Deal,"$22,990"
272,Honda,Civic, LX,2017,Used,"51,263 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$21,998"
273,Mazda,CX-9, Touring,2018,Used,"29,739 mi.",Rich Morton Mazda,9 mi. from 21227,4.6,736 ,Good Deal,"$31,988"
274,RAM,1500, Laramie,2014,Used,"117,723 mi.",Easterns Automotive Group of Glen Burnie- Curbside and Home Delivery Available,9 mi. from 21227,4.8,326 ,Good Deal,"$28,950"
275,Ford,Transit-250, Base,2019,Used,"62,212 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Good Deal,"$39,995"
276,Ford,Transit-250, 148 WB Medium Roof Cargo,2019,Used,"65,853 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Good Deal,"$39,695"
277,Honda,Civic, LX,2010,Used,"139,675 mi.",Certified MotorCars,10 mi. from 21227,5.0,2 ,Great Deal | $322 under,"$6,995"
278,Honda,Accord, EX-L,2012,Used,"121,797 mi.",M&M Auto,4 mi. from 21227,4.3,16 ,Home Delivery,"$14,970"
279,Ford,Bronco, Outer Banks Advanced,2021,Used,"6,500 mi.",Bob Bell Ford Hyundai,6 mi. from 21227,4.5,618 ,Good Deal,"$59,554"
280,Mazda,CX-5, Touring,2020,Used,"51,185 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$27,400"
281,Honda,HR-V, LX,2016,Used,"30,930 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$21,990"
282,Jaguar,I-PACE, EVV400 S,2019,Used,"7,776 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Fair Deal,"$55,990"
283,Subaru,Impreza, Base,2021,Used,"19,417 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$24,990"
284,Chevrolet,Silverado, 1500 LS,2017,Used,"31,453 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$34,590"
285,INFINITI,QX50, SENSORY,2020,Used,"47,678 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Fair Deal,"$41,990"
286,Mazda,Mazda6, Touring,2019,Used,"15,048 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$28,900"
287,Mazda,CX-9, Touring,2013,Used,"78,513 mi.",A G Auto Sales,6 mi. from 21227,3.7,3 ,Great Deal | $662 under,"$13,995"
288,Nissan,Sentra, S,2019,Used,"62,960 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Great Deal | $620 under,"$16,299"
289,Ford,F-250, XLT,2019,Used,"49,118 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$55,000"
290,Ford,Focus, SE,2017,Used,"60,691 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Fair Deal,"$15,000"
291,Ford,F-150, XL,2019,Used,"37,606 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ","Great Deal | $1,036 under","$37,000"
292,Kia,Rio, LX,2016,Used,"43,271 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,n/a,"$17,998"
293,FIAT,500L, Easy,2014,Used,"48,501 mi.",Auto Leader,8 mi. from 21227,4.6,145 ,Fair Deal,"$13,990"
294,Mazda,CX-9, Touring,2021,Used,"7,120 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Great Deal | $336 under,"$41,000"
295,Nissan,Altima, 2.5 SL,2019,Nissan Certified,"18,836 mi.",Bob Bell Nissan Kia,10 mi. from 21227,4.3,299 ,Good Deal,"$28,900"
296,GMC,Acadia, SLE-1,2019,Used,"26,804 mi.",Ourisman Chrysler Dodge Jeep Ram of Baltimore,10 mi. from 21227,4.3,98 ,Good Deal,"$33,975"
297,BMW,X3, xDrive30i,2019,Used,"11,950 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Good Deal,"$43,995"
298,Mazda,CX-9, Touring,2013,Used,"78,513 mi.",A G Auto Sales,6 mi. from 21227,3.7,3 ,Great Deal | $662 under,"$13,995"
299,Hyundai,Genesis, 3.8,2016,Used,"103,274 mi.",A G Auto Sales,6 mi. from 21227,3.7,3 ,Fair Deal,"$22,995"
300,Lexus,GX, 460 Base,2020,Used,"16,220 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal | $239 under,"$52,990"
301,Mazda,CX-30, Preferred,2021,Used,"13,352 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ","Great Deal | $1,055 under","$29,990"
302,Lexus,GS, 350 F Sport,2019,Used,"14,590 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$48,590"
303,Toyota,Tacoma, SR,2021,Used,"9,891 mi.",Tate Used Cars,6 mi. from 21227,4.0,13 ,Good Deal,"$40,900"
304,Toyota,Highlander, XLE,2019,Used,"21,508 mi.",Brown's Honda City,6 mi. from 21227,4.9,"2,051 ","Great Deal | $1,738 under","$36,860"
305,Ford,F-150, XLT,2016,Used,"79,790 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$33,000"
306,Toyota,Camry, XLE,2017,Used,"27,036 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ",Fair Deal,"$25,800"
307,Jeep,Grand, Cherokee Limited,2019,Used,"38,839 mi.",Tate Used Cars,6 mi. from 21227,4.0,13 ,Great Deal | $301 under,"$35,500"
308,Dodge,Durango, Crew,2013,Used,"121,256 mi.",Star Cars,7 mi. from 21227,4.4,26 ,Fair Deal,"$16,999"
309,Nissan,Sentra, S,2019,Used,"60,054 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Great Deal | $244 under,"$16,299"
310,Toyota,Tacoma, TRD Sport,2021,Used,"8,789 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$45,998"
311,Lexus,RX, 350 Base,2013,Used,"105,208 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Fair Deal,"$21,000"
312,Nissan,Sentra, S,2019,Used,"54,962 mi.",Easterns Automotive Group of Glen Burnie- Curbside and Home Delivery Available,9 mi. from 21227,4.8,326 ,Fair Deal,"$19,950"
313,Lincoln,Aviator, Reserve AWD,2020,Used,"36,901 mi.",Rich Morton Mazda,9 mi. from 21227,4.6,736 ,Good Deal,"$58,788"
314,Volkswagen,Jetta, 1.4T S,2019,Used,"41,135 mi.",Antwerpen Volkswagen,10 mi. from 21227,4.3,401 ,Great Deal | $435 under,"$18,500"
315,Ford,F-150, FX2 SuperCrew,2010,Used,"67,829 mi.",Norris Auto Group,10 mi. from 21227,4.6,311 ,Fair Deal,"$19,987"
316,RAM,1500, Big Horn,2019,Used,"29,260 mi.",Ourisman Chrysler Dodge Jeep Ram of Baltimore,10 mi. from 21227,4.3,98 ,Fair Deal,"$43,495"
317,Subaru,Outback, 2.5i Limited,2015,Used,"102,000 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Fair Deal,"$19,995"
318,Mercedes-Benz,S-Class, S 560 4MATIC,2019,Used,"25,069 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,"Great Deal | $3,483 under","$77,000"
319,Honda,Civic, EX,2007,Used,"123,722 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Fair Deal,"$9,999"
320,Kia,Soul, +,2018,Used,"20,447 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$20,990"
321,Chevrolet,Corvette, Stingray w/3LT,2020,Used,"10,647 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Home Delivery,"$99,990"
322,Toyota,Yaris, L,2017,Used,"12,671 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$18,990"
323,Tesla,Model, S 70D,2015,Used,"35,568 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$49,990"
324,Honda,Passport, Sport,2019,Used,"11,881 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ","Great Deal | $1,500 under","$32,590"
325,Nissan,Murano, SV,2020,Used,"48,648 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ","Great Deal | $1,209 under","$26,590"
326,Honda,CR-V, Touring,2018,Used,"96,533 mi.",Brown's Honda City,6 mi. from 21227,4.9,"2,051 ",Fair Deal,"$26,882"
327,INFINITI,M35, Base,2008,Used,"99,021 mi.",Star Cars,7 mi. from 21227,4.4,26 ,Fair Deal,"$10,999"
328,Lincoln,Aviator, Reserve AWD,2021,Used,"17,954 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ","Great Deal | $2,826 under","$62,000"
329,Chevrolet,Equinox, 1LT,2019,Used,"27,302 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,"Great Deal | $2,056 under","$24,799"
330,Honda,Accord, LX,2019,Used,"30,827 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Good Deal,"$26,189"
331,GMC,Canyon, WT,2012,Used,"84,950 mi.",Auto Leader,8 mi. from 21227,4.6,145 ,Fair Deal,"$14,990"
332,Ford,F-150, XL,2018,Used,"70,799 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Good Deal,"$24,000"
333,INFINITI,QX50, Luxe,2021,Used,"15,008 mi.",Antwerpen Volkswagen,10 mi. from 21227,4.3,401 ,Good Deal,"$41,500"
334,RAM,1500, ST,2012,Used,"12,544 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Fair Deal,"$16,995"
335,Toyota,Camry, SE,2018,Used,"58,239 mi.",Ourisman Chevrolet Baltimore - Curbside pickup and home delivery available,6 mi. from 21227,3.2,43 ,Good Deal,"$24,350"
336,Kia,Rio, S,2019,Used,"9,200 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$18,750"
337,Chrysler,300, Limited,2017,Used,"26,885 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$25,464"
338,Ford,Expedition, Limited,2020,Used,"51,888 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$56,590"
339,Chevrolet,Tahoe, LS,2019,Used,"18,794 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ","Great Deal | $1,345 under","$45,990"
340,Tesla,Model, X 100D,2018,Used,"14,668 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Fair Deal,"$90,990"
341,Mercedes-Benz,GLE, 350 Base 4MATIC,2018,Used,"24,040 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$45,590"
342,Acura,TLX, FWD,2016,Used,"45,889 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$24,590"
343,Cadillac,Escalade, Luxury,2019,Used,"30,677 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal | $129 under,"$61,990"
344,Acura,RDX, Base,2020,Used,"21,754 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$38,590"
345,Porsche,Macan, GTS,2018,Used,"27,769 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$64,990"
346,Mercedes-Benz,SL-Class, SL 400,2015,Used,"30,292 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$44,990"
347,Volvo,XC70, T6 Premier Plus,2015,Used,"32,595 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$30,590"
348,Hyundai,Tucson, SE,2021,Used,"29,812 mi.",Antwerpen Hyundai of Baltimore,6 mi. from 21227,4.6,"3,023 ",Good Deal,"$28,000"
349,Hyundai,Elantra, SE,2017,Used,"170,900 mi.",Bob Bell Ford Hyundai,6 mi. from 21227,4.5,618 ,Great Deal | $108 under,"$10,000"
350,BMW,X6, xDrive35i,2019,Used,"45,602 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$52,000"
351,Nissan,370Z, Base,2015,Used,"82,200 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Good Deal,"$25,000"
